(1.0, 53, 130.3226773738861)
(1.0, 53, 130.99867582321167)
(1.0, 53, 131.67767477035522)
(1.0, 53, 132.3317096233368)
(2.0, 102, 133.5687096118927)
(1.0, 53, 134.22771215438843)
(1.0, 53, 134.87971186637878)
(1.0, 53, 135.53771209716797)
(1.0, 53, 136.18222665786743)
(1.0, 53, 136.83922600746155)
(0.0, 24, 137.14822626113892)
(1.0, 53, 137.7572259902954)
(1.0, 53, 138.37273693084717)
(1.0, 53, 138.99873685836792)
(1.0, 53, 139.6427366733551)
(1.0, 53, 140.28373646736145)
(1.0, 53, 140.90873646736145)
(1.0, 53, 141.54073643684387)
(1.0, 53, 142.20373678207397)
(2.0, 120, 143.55873656272888)
(1.0, 53, 144.20024585723877)
(1.0, 53, 144.83424711227417)
(1.0, 53, 145.45624446868896)
(1.0, 53, 146.08324480056763)
(1.0, 53, 146.72724533081055)
(1.0, 53, 147.35124492645264)
(1.0, 53, 148.01724457740784)
(1.0, 53, 148.7377851009369)
(1.0, 53, 149.43878602981567)
(1.0, 53, 150.13229870796204)
(1.0, 53, 150.8922986984253)
(1.0, 53, 151.70329880714417)
(1.0, 53, 152.47329878807068)
(2.0, 84, 153.5262987613678)
(1.0, 53, 154.16181445121765)
(1.0, 53, 154.8138132095337)
(1.0, 53, 155.46581315994263)
(1.0, 53, 156.13181567192078)
(1.0, 53, 156.75981450080872)
(1.0, 53, 157.41081285476685)
(1.0, 53, 158.07181453704834)
(1.0, 53, 158.7298128604889)
(1.0, 53, 159.3358371257782)
(1.0, 53, 159.94883823394775)
(1.0, 53, 160.56783747673035)
(1.0, 53, 161.26486468315125)
(1.0, 53, 161.91986560821533)
(1.0, 53, 162.5518662929535)
(2.0, 102, 163.76487493515015)
(1.0, 53, 164.40687489509583)
(1.0, 53, 165.05887389183044)
(1.0, 53, 165.67487382888794)
(1.0, 53, 166.3388752937317)
(1.0, 53, 166.95187401771545)
(1.0, 53, 167.5739028453827)
(1.0, 53, 168.19490432739258)
(1.0, 53, 168.95790243148804)
(1.0, 53, 169.75241208076477)
(1.0, 53, 170.45241141319275)
(1.0, 53, 171.14292311668396)
(1.0, 53, 171.8219223022461)
(2.0, 86, 172.97292160987854)
(1.0, 53, 173.66292142868042)
(1.0, 53, 174.37243509292603)
(1.0, 53, 175.02243447303772)
(1.0, 53, 175.6584334373474)
(1.0, 53, 176.30994200706482)
(1.0, 53, 176.95194172859192)
(1.0, 53, 177.59694242477417)
(2.0, 102, 178.80094242095947)
(1.0, 53, 179.44894218444824)
(1.0, 53, 180.0479438304901)
(1.0, 53, 180.67694330215454)
(1.0, 53, 181.28594160079956)
(1.0, 53, 181.9419436454773)
(1.0, 53, 182.58396863937378)
(1.0, 54, 183.21796894073486)
(0.0, 24, 183.5169689655304)
(1.0, 53, 184.1489703655243)
(1.0, 53, 184.79497027397156)
(0.0, 24, 185.09296870231628)
(0.0, 24, 185.38696908950806)
(0.0, 24, 185.68597149848938)
(1.0, 53, 186.30496859550476)
(1.0, 53, 186.94797158241272)
(1.0, 53, 187.57896876335144)
(1.0, 53, 188.19597053527832)
(1.0, 53, 188.81796860694885)
(1.0, 53, 189.51996874809265)
(1.0, 53, 190.13397073745728)
(1.0, 53, 190.82796955108643)
(1.0, 53, 191.47497010231018)
(1.0, 53, 192.1629683971405)
(2.0, 85, 193.2289698123932)
(1.0, 53, 193.90096855163574)
(1.0, 53, 194.6219687461853)
(1.0, 53, 195.24096870422363)
(2.0, 85, 196.25148105621338)
(1.0, 53, 196.9234812259674)
(2.0, 102, 198.1154808998108)
(0.0, 24, 198.44048404693604)
(1.0, 53, 199.13148164749146)
(1.0, 53, 199.8044810295105)
(2.0, 102, 201.00448083877563)
(1.0, 53, 201.66298961639404)
(1.0, 53, 202.374990940094)
(1.0, 53, 203.01899099349976)
(1.0, 53, 203.7429904937744)
(1.0, 53, 204.41399025917053)
(1.0, 53, 205.04998970031738)
(1.0, 53, 205.70698952674866)
(1.0, 53, 206.3439908027649)
(3.0, 117, 207.70299983024597)
(1.0, 53, 208.38399839401245)
(1.0, 53, 208.99599814414978)
(1.0, 53, 209.64104199409485)
(1.0, 53, 210.2610433101654)
(2.0, 84, 211.3720419406891)
(2.0, 102, 212.64404249191284)
(1.0, 53, 213.31804203987122)
